2020-10-19 15:21:21.400 [main] INFO  com.myActuator.actuators.ActuatorsApplication - Starting ActuatorsApplication on GUOFENG-LI with PID 12220 (D:\actuator\actuators\actuators\target\classes started by liguofeng in D:\actuator\actuators\actuators)
2020-10-19 15:21:21.408 [main] INFO  com.myActuator.actuators.ActuatorsApplication - No active profile set, falling back to default profiles: default
2020-10-19 15:21:22.319 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-10-19 15:21:22.329 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-10-19 15:21:22.330 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-19 15:21:22.331 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-10-19 15:21:22.416 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-19 15:21:22.416 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 950 ms
2020-10-19 15:21:22.688 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-19 15:21:22.803 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-10-19 15:21:22.811 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-10-19 15:21:22.841 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-10-19 15:21:22.852 [main] INFO  com.myActuator.actuators.ActuatorsApplication - Started ActuatorsApplication in 2.323 seconds (JVM running for 4.178)
2020-10-19 15:21:22.854 [main] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - 获取健康数据线程启动。。。。
2020-10-19 15:21:24.889 [Timer-0] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - error >> I/O error on GET request for "http://localhost:9199/actuator/metrics/jvm.memory.used": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2020-10-19 15:21:24.951 [Timer-0] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - 健康监控程序*****===》启动了Bat,时间：2020-10-19 15:21:24
2020-10-19 15:23:19.900 [main] INFO  com.myActuator.actuators.ActuatorsApplication - Starting ActuatorsApplication on GUOFENG-LI with PID 20220 (D:\actuator\actuators\actuators\target\classes started by liguofeng in D:\actuator\actuators\actuators)
2020-10-19 15:23:19.905 [main] INFO  com.myActuator.actuators.ActuatorsApplication - No active profile set, falling back to default profiles: default
2020-10-19 15:23:20.882 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-10-19 15:23:20.894 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-10-19 15:23:20.895 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-19 15:23:20.895 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-10-19 15:23:20.987 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-19 15:23:20.987 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1020 ms
2020-10-19 15:23:21.242 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-19 15:23:21.357 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-10-19 15:23:21.364 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-10-19 15:23:21.396 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-10-19 15:23:21.406 [main] INFO  com.myActuator.actuators.ActuatorsApplication - Started ActuatorsApplication in 2.243 seconds (JVM running for 4.487)
2020-10-19 15:23:21.408 [main] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - 获取健康数据线程启动。。。。
2020-10-19 15:23:23.457 [Timer-0] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - error >> I/O error on GET request for "http://localhost:9199/actuator/metrics/jvm.memory.used": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2020-10-19 15:23:23.511 [Timer-0] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - 健康监控程序*****===》启动了Bat,时间：2020-10-19 15:23:23
2020-10-19 15:24:35.159 [main] INFO  com.myActuator.actuators.ActuatorsApplication - Starting ActuatorsApplication on GUOFENG-LI with PID 11700 (D:\actuator\actuators\actuators\target\classes started by liguofeng in D:\actuator\actuators\actuators)
2020-10-19 15:24:35.163 [main] INFO  com.myActuator.actuators.ActuatorsApplication - No active profile set, falling back to default profiles: default
2020-10-19 15:24:36.217 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-10-19 15:24:36.228 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-10-19 15:24:36.229 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-10-19 15:24:36.229 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-10-19 15:24:36.318 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-10-19 15:24:36.318 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1086 ms
2020-10-19 15:24:36.576 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-10-19 15:24:36.704 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-10-19 15:24:36.714 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-10-19 15:24:36.752 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-10-19 15:24:36.763 [main] INFO  com.myActuator.actuators.ActuatorsApplication - Started ActuatorsApplication in 2.335 seconds (JVM running for 4.27)
2020-10-19 15:24:36.765 [main] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - 获取健康数据线程启动。。。。
2020-10-19 15:24:38.807 [Timer-0] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - error >> I/O error on GET request for "http://localhost:9199/actuator/metrics/jvm.memory.used": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2020-10-19 15:24:38.859 [Timer-0] INFO  c.myActuator.actuators.monitoring.MonitoringMemory - 健康监控程序*****===》启动了Bat,时间：2020-10-19 15:24:38
